Startup;Fonds;Titel;Vorname;Nachname;Geschlecht;Land
KYP AI;"";;Adam;Bujak;;Deutschland
KYP AI;"";;Miroslaw;Bartecki;;Deutschland
KYP AI;"";;Volker;Darius;;Deutschland
Katana;42CAP II GmbH & Co. KG;"";"";"";"";""
Katana;"";;Hannes;Kert;;""
Katana;"";;Priit;Kaasik;;""
Katana;"";;Kristjan;Vilosius;;""
Keller Group;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
Keller Group;"";;Jakob;Keller;;Deutschland
Keller Group;"";;Moritz;Keller;;Deutschland
Kipu Quantum GmbH;Quantonation I FPCI;"";"";"";"";""
Kipu Quantum GmbH;"";;Enrique;Solano;"";Deutschland
Kipu Quantum GmbH;"";;Daniel;Volz;"";Deutschland
Kipu Quantum GmbH;"";;Tobias;Grab;"";Deutschland
Knowunity;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Knowunity;"";;Benedict;Kurz;"";Deutschland
Knowunity;"";;Lucas;Hild;"";Deutschland
Knowunity;"";;Gregor;Weber;"";Deutschland
Knowunity;"";;Julian;Prigl;"";Deutschland
Knowunity;"";;Yannik;Prigl;"";Deutschland
Knowunity;"";;Mario;Götze;mänlich;Deutschland
Knowunity;"";;Verena;Pausder;"";Deutschland
Knowunity;"";;Chris;Hitchen;"";Deutschland
Kolex (Epics Digital);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Kolex (Epics Digital);"";;Gavin;Weeks;;Vereinigte Staaten von Amerika (USA)
Kolex (Epics Digital);"";;Mark;Donovan;;Vereinigte Staaten von Amerika (USA)
Kyso Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Kyso Inc.;"";;Eoin;Murray;"";Vereinigte Staaten von Amerika (USA)
Kyso Inc.;"";;Helena;Domo;"";Vereinigte Staaten von Amerika (USA)
LILA Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
LILA Games;"";;Joseph;Kim;"";India
LILA Games;"";;Paul;Leydon;"";India
LIV Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
LUMIFORM;42CAP II GmbH & Co. KG;"";"";"";"";""
LUMIFORM;"";;Lukas;Blasberg;;Deutschland
LUMIFORM;"";;Philip;Blasberg;;Deutschland
Lang Artificial Intelligence, INC;Honeystone Ventures Fund LP;"";"";"";"";""
Lang Artificial Intelligence, INC;"";;Basil;Polsonetti;"";Spanien
Lang Artificial Intelligence, INC;"";;Jorge;Peñalva;"";Spanien
Lang Artificial Intelligence, INC;"";;Enrique;Fueyo;"";Spanien
Lang Artificial Intelligence, INC;"";;Borja;González;"";Spanien
Lark Health;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Lark Health;"";;Julia;Hu;;Vereinigte Staaten von Amerika (USA)
Lark Health;"";;Jeff;Zira;;Vereinigte Staaten von Amerika (USA)
Lassen Peak;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Lassen Peak;"";;Hatch;Graham;"";Vereinigte Staaten von Amerika (USA)
Lassen Peak;"";;Ehsan;Afshari;mänlich;Vereinigte Staaten von Amerika (USA)
Lassen Peak;"";;Ryan;Kearny;"";Vereinigte Staaten von Amerika (USA)
LeanSpace;42Cap III GmbH & Co KG;"";"";"";"";""
LeanSpace;"";;Guillaume;Tanier;"";Frankreich
LeanSpace;"";;Alvaro Alonso;Ruiz;"";Frankreich
LeanSpace;"";;Gaurav;Lanjekar;"";Frankreich
LeanSpace;"";;Stan;Kaethler;"";Frankreich
Legendary Play GmbH (Meta Games);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Legendary Play GmbH (Meta Games);"";;Roman;Frank;;Deutschland
LemonOne;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
LemonOne;"";;Maximilian;Schwahn;;Deutschland
LemonOne;"";;Daniel;Dihn;;Deutschland
LemonOne;"";;Timur;Kayacı;;Deutschland
LemonOne;"";;Lorenz;Marquardt;;Deutschland
LightOn;Quantonation I FPCI;"";"";"";"";""
LightOn;"";;Igor;Carron;"";Frankreich
LightOn;"";;Laurent;Daudet;"";Frankreich
Lightforge Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Lightspark Group;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Liminal Experiences, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Liminal Experiences, Inc.;"";;Brendan;Mulligan;"";Vereinigte Staaten von Amerika (USA)
Literal Technologies, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Literal Technologies, Inc.;"";;Lawton;Smith;"";Vereinigte Staaten von Amerika (USA)
Literal Technologies, Inc.;"";;Michael;Romrell;"";Vereinigte Staaten von Amerika (USA)
Lofelt;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Lofelt;"";;Gwydion;Dafydd;;Deutschland
Lofelt;"";;Daniel;Büttner;;Deutschland
Lost Lake Games Ltd.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Lost Lake Games Ltd.;"";;James;Phinney;"";Vereinigte Staaten von Amerika (USA)
Lost Lake Games Ltd.;"";;Joe;Pikop;"";Vereinigte Staaten von Amerika (USA)
Lost Lake Games Ltd.;"";;Mark;Pottorf;"";Vereinigte Staaten von Amerika (USA)
Luda Studios Inc;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Luda Studios Inc;"";;Vijay;Sundaram;mänlich;Vereinigte Staaten von Amerika (USA)
Luya Foods AG;Redalpine Capital S.C.S., SICAR VI;"";"";"";"";""
Luya Foods AG;"";;Michael;Whyte;"";Schweiz
Luya Foods AG;"";;Flavio;Hagenbuch;"";Schweiz
Magic DAYW AG;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Magic DAYW AG;"";;Christian Urs;Keller;"";Schweiz
Mangrove;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Mangrove;"";;Adrien;Husson;"";Frankreich
Manticore Games;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Manticore Games;"";;Frederic;Descamos;;Vereinigte Staaten von Amerika (USA)
Manticore Games;"";;Jordan;Maynard;;Vereinigte Staaten von Amerika (USA)
Manticore Games;BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
Manticore Games;"";;Frederic;Descamos;;Vereinigte Staaten von Amerika (USA)
Manticore Games;"";;Jordan;Maynard;;Vereinigte Staaten von Amerika (USA)
Mate.Bike International IVS;Nordic Eye II SCSp;"";"";"";"";""
Mate.Bike International IVS;"";;Christian;Adel Michael;"";Dänemark
Mate.Bike International IVS;"";;Julie;Kronstrøm Carton;"";Dänemark
MemQ;Quantonation I FPCI;"";"";"";"";""
MemQ;"";;Manish Kumar;Singh;"";Vereinigte Staaten von Amerika (USA)
Merkle Manufactory;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Merkle Manufactory;"";;Daniel;Romero;"";Vereinigte Staaten von Amerika (USA)
Merkle Manufactory;"";;Varun;Srinivasan;"";Vereinigte Staaten von Amerika (USA)
Methodical Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Methodical Games, Inc.;"";;Frank;Gigliotti;"";Vereinigte Staaten von Amerika (USA)
Methodical Games, Inc.;"";;Dave;Ratti;"";Vereinigte Staaten von Amerika (USA)
Methodical Games, Inc.;"";;Adam;Bellefeuil;"";Vereinigte Staaten von Amerika (USA)
Mobius Labs GmbH;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Mobius Labs GmbH;"";;Appu;Shaji;"";Deutschland
Molecule GmbH;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Molecule GmbH;"";;Paul;Kohlhaas;"";Schweiz
Molecule GmbH;"";;Tyler;Golato;"";Schweiz
Moniker;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Moniker;"";;Jon;Gurman;;Vereinigte Staaten von Amerika (USA)
Moniker;"";;Jens;Hilgers;;Vereinigte Staaten von Amerika (USA)
Morressier;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Morressier;"";;Sami;Benchekroun;;Deutschland
Morressier;"";;Justus;Weweler;;Deutschland
Morressier;"";;Rino;Montiel;;Deutschland
Multiverse Computing;Quantonation I FPCI;"";"";"";"";""
Multiverse Computing;"";;Roman;Orús;"";Spanien
Multiverse Computing;"";;Sam;Mugel;"";Spanien
Multiverse Computing;"";;Alfonso;Rubio;"";Spanien
Multiverse Computing;"";;Enrique;Lizaso;"";Spanien
Murmur Labs Inc.;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Murmur Labs Inc.;"";;Aaron;Dignan;"";Vereinigte Staaten von Amerika (USA)
Mutable Inc.;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Mysten Labs;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Mystic AI (vormals Neuro AI Inc.);Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Mystic AI (vormals Neuro AI Inc.);"";;Paul;Hetherington;"";Groß-Britanien (UK)
Mystic AI (vormals Neuro AI Inc.);"";;Oscar;Rovira;"";Groß-Britanien (UK)
Network Next;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Network Next;"";;Evan;Todd;;Vereinigte Staaten von Amerika (USA)
Network Next;"";;Glenn;Fiedler;;Vereinigte Staaten von Amerika (USA)
Network Next;"";;Moiz;Alam;;Vereinigte Staaten von Amerika (USA)
Network Next;"";;Nathan;Drabsch;;Vereinigte Staaten von Amerika (USA)
Neurolaboratories Limited;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Neurolaboratories Limited;"";;Paul;Pop;"";Groß-Britanien (UK)
Neurolaboratories Limited;"";;Patric;Fulop;"";Groß-Britanien (UK)
Neurolaboratories Limited;"";;Remus;Pop;"";Groß-Britanien (UK)
Nightstreet Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Nina Protocol Corp.;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Nina Protocol Corp.;"";;Eric;Farber;mänlich;Vereinigte Staaten von Amerika (USA)
Nina Protocol Corp.;"";;Jack;Callahan;mänlich;Vereinigte Staaten von Amerika (USA)
Nina Protocol Corp.;"";;Mike;Pollard;mänlich;Vereinigte Staaten von Amerika (USA)
Noodl & Future Platforms AB;42Cap III GmbH & Co KG;"";"";"";"";""
Noodl & Future Platforms AB;"";;James;Haliburton;"";Schweden
Noodl & Future Platforms AB;"";;Anders;Larsson;"";Schweden
Noodl & Future Platforms AB;"";;Mikael;Tellhed;"";Schweden
Noodl & Future Platforms AB;"";;Michael;Cartner;"";Schweden
Nord Quantique;Quantonation I FPCI;"";"";"";"";""
Nord Quantique;"";;Philippe;St. Jean;"";Kanada
Nord Quantique;"";;Julien;Camirand Lemyre;"";Kanada
Nostos Genomics GmbH;42Cap III GmbH & Co KG;"";"";"";"";""
Nostos Genomics GmbH;"";;David;Gorgan;"";Deutschland
Nostos Genomics GmbH;"";;Rocío;Acuña-Hidalgo;"";Deutschland
ORCA Computing;Quantonation I FPCI;"";"";"";"";""
ORCA Computing;"";;Ian;Walmsley;"";Groß-Britanien (UK)
ORCA Computing;"";;Richard;Murray;"";Groß-Britanien (UK)
ORCA Computing;"";;Josh;Nunn;"";Groß-Britanien (UK)
ORCA Computing;"";;Cristina;Escoda;"";Groß-Britanien (UK)
ORDA;42CAP II GmbH & Co. KG;"";"";"";"";""
ORDA;"";;Janis;Marquardt;;Deutschland
ORDA;"";;Peter;Juras;;Deutschland
ORDA;"";;Christian;Feuerbacher;;Deutschland
Octane11, Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Octane11, Inc.;"";;Dan;Rosenberg;"";Vereinigte Staaten von Amerika (USA)
Octane11, Inc.;"";;Jib;Hunt;"";Vereinigte Staaten von Amerika (USA)
Office App;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Office App;"";;Thijs;van der Burgt;;Niederlande
Oneshot  AI Limited;42Cap III GmbH & Co KG;"";"";"";"";""
Oneshot  AI Limited;"";;Gautam;Rishi;"";""
Oneshot  AI Limited;"";;Will;Neale;"";""
OpenBCI Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
OpenBCI Inc.;"";;Conor;Russomanno;"";""
Opteran Technologies Limited;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Opteran Technologies Limited;"";;David;Rajan;"";Groß-Britanien (UK)
Opteran Technologies Limited;"";;Alex;Cope;"";Groß-Britanien (UK)
Osaro;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Osaro;"";;Derik;Pridmore;;Vereinigte Staaten von Amerika (USA)
Osaro;"";;Itamar;Arel;;Vereinigte Staaten von Amerika (USA)
Osaro;"";;Michael;Kahane;;Vereinigte Staaten von Amerika (USA)
PASQAL;Quantonation I FPCI;"";"";"";"";""
PASQAL;"";;Christophe;Jurczak;"";Frankreich
PASQAL;"";;Georges-Olivier;Reymond;"";Frankreich
PairUp, Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Paladin;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Paladin;"";;Romain;Figuereo;"";Frankreich
Peak21;Nordic Eye II SCSp;"";"";"";"";""
Peak21;"";;Jennifer;Chong;"";Vereinigte Staaten von Amerika (USA)
Peak21;"";;Roman;Khan;"";Vereinigte Staaten von Amerika (USA)
Peak21;"";;Edoardo;Romagnoli;"";Vereinigte Staaten von Amerika (USA)
Phase;42CAP II GmbH & Co. KG;"";"";"";"";""
Phase;"";;Nick;Budden;;Deutschland
Philippo Ltd.;Honeystone Ventures Fund LP;"";"";"";"";""
Philippo Ltd.;"";;Guido;Galanter;"";Chile
Philippo Ltd.;"";;Nicolás;Piqueras;"";Chile
Philippo Ltd.;"";;Tomás;Gropper;"";Chile
Photoneo s. r. o.;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Photoneo s. r. o.;"";;Jan;Zizka;"";Slovakien
Photoneo s. r. o.;"";;Tomas;Kovacovsky;"";Slovakien
Picterra S.A.;Join Capital Fund II GmbH & Co KG;"";"";"";"";""
Picterra S.A.;"";;Frank;de Morsier;"";Schweiz
Picterra S.A.;"";;Pierrick;Poulenas;"";Schweiz
Pixel Photonics;Quantonation I FPCI;"";"";"";"";""
Pixel Photonics;"";;Nicolai;Walter;"";Deutschland
Pixel Photonics;"";;Wladick;Hartmann;"";Deutschland
Pixel Photonics;"";;Fabian;Beutel;"";Deutschland
Pixel Photonics;"";;Martin;Wolff;"";Deutschland
Pixel Photonics;"";;Christoph;Seidenstücker;"";Deutschland
PlayBrain;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
PlayBrain;"";;Mike;Sheetal;;Japan
Playable Worlds Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Playable Worlds Inc.;"";;Raph;Koster;;Vereinigte Staaten von Amerika (USA)
Playable Worlds Inc.;"";;Eric;Goldberg;;Vereinigte Staaten von Amerika (USA)
PocketzWorld, Inc (Highrise);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
PocketzWorld, Inc (Highrise);"";;David;Lovatt;"";Vereinigte Staaten von Amerika (USA)
PocketzWorld, Inc (Highrise);BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
PocketzWorld, Inc (Highrise);"";;David;Lovatt;"";Vereinigte Staaten von Amerika (USA)
Polygon;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Polygon;"";;Anurag;Arjun;"";India
Polygon;"";;Jaynti;Kanani;"";India
Polygon;"";;Mihailo;Bielic;"";India
Polygon;"";;Sandeep;Nailwal;"";India
Popgun Labs Pty Ltd (dba Splash);BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Popgun Labs Pty Ltd (dba Splash);"";;Stephen;Phillips;"";Australien
Popgun Labs Pty Ltd (dba Splash);"";;Adam;Hibble;"";Australien
Potrero Labs Inc.;a16z - CNK Seed Fund I, L.P.;"";"";"";"";""
Probably Nothing Inc. (DISCO);BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Probably Nothing Inc. (DISCO);"";;Evin;McMullen;"";""
Probably Nothing Inc. (DISCO);"";;Justin;Connor;"";""
Probo Media Technologies Private Limited;Honeystone Ventures Fund LP;"";"";"";"";""
Probo Media Technologies Private Limited;"";;Sachin;Gupta;"";India
Probo Media Technologies Private Limited;"";;Ashish;Garg;"";India
Prodsmart;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Prodsmart;"";;Gonçalo;Fortes;;Portugal
Proof Holdings;a16z - CNK Fund IV, L.P.;"";"";"";"";""
Proscia Inc.;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Proscia Inc.;"";;Coleman;Stavish;mänlich;Vereinigte Staaten von Amerika (USA)
Proscia Inc.;"";;David;West;mänlich;Vereinigte Staaten von Amerika (USA)
Proscia Inc.;"";;Nathan;Buchbinder;mänlich;Vereinigte Staaten von Amerika (USA)
Provenance;Nordic Eye II SCSp;"";"";"";"";""
Provenance;"";;Jessi;Baker;"";Groß-Britanien (UK)
Proxyclick;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
Proxyclick;"";;Gregory;Blondeau;;Belgien
Q Development AG (Q Network);Greenfield One III GmbH & Co. KG;"";"";"";"";""
Q Development AG (Q Network);"";;Nicolas;Biagosch;"";Liechtenstein
QUBIT Pharmaceuticals;Quantonation I FPCI;"";"";"";"";""
QUBIT Pharmaceuticals;"";;Louis;Lagardère;"";Frankreich
QUBIT Pharmaceuticals;"";;Matthieu;Montes;"";Frankreich
QUBIT Pharmaceuticals;"";;Jean-Philip;Piquemal;"";Frankreich
QUBIT Pharmaceuticals;"";;Jay;Ponder;"";Frankreich
QUBIT Pharmaceuticals;"";;Pengyu;Ren;"";Frankreich
Qdrant Solutions GmbH;42Cap III GmbH & Co KG;"";"";"";"";""
Qdrant Solutions GmbH;"";;Andre;Zayarni;"";Deutschland
Qdrant Solutions GmbH;"";;Andrey;Vasnetsov;"";Deutschland
Qnami AG;Quantonation I FPCI;"";"";"";"";""
Qnami AG;"";;Patrick;Maletinsky;"";Schweiz
Qnami AG;"";;Felipe;Favaro;"";Schweiz
Qnami AG;"";;Alexander;Stark;"";Schweiz
Qnami AG;"";;Mathieu;Munsch;"";Schweiz
QphoX B.V.;Quantonation I FPCI;"";"";"";"";""
QphoX B.V.;"";;Simon;Groeblacher;"";Niederlande
QphoX B.V.;"";;Frederick;Hijazi;"";Niederlande
QphoX B.V.;"";;Robert;Stockill;"";Niederlande
Qu&Co BV;Quantonation I FPCI;"";"";"";"";""
Qu&Co BV;"";;Vincent;Elfving;"";Niederlande
Qu&Co BV;"";;Benno;Broer;"";Niederlande
Quandela;Quantonation I FPCI;"";"";"";"";""
Quandela;"";;Pascale;Senellart;"";Frankreich
Quandela;"";;Niccolo;Somaschi;"";Frankreich
Quandela;"";;Valerian;Giesz;"";Frankreich
Quantum Benchmark Inc.;Quantonation I FPCI;"";"";"";"";""
Quantum Benchmark Inc.;"";;Joseph;Emerson;"";Vereinigte Staaten von Amerika (USA)
Quantum Benchmark Inc.;"";;Joel;Wallman;"";Vereinigte Staaten von Amerika (USA)
Quantum Catalyzer;Quantonation I FPCI;"";"";"";"";""
Quantum Catalyzer;"";;Ronald;Walsworth;"";""
Quarterback;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Quarterback;"";;Alexander;Mazyarik;;Vereinigte Staaten von Amerika (USA)
Quarterback;"";;Dror;Cohen;;Vereinigte Staaten von Amerika (USA)
Quarterback;"";;Jonathan;Weinberg;;Vereinigte Staaten von Amerika (USA)
Quarterback;"";;Yevgeni;Volovich;;Vereinigte Staaten von Amerika (USA)
Queens Gaming;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Queens Gaming;"";;Alisa;Jacobs;"";Vereinigte Staaten von Amerika (USA)
Queens Gaming;"";;Justin J.;Giangrande;"";Vereinigte Staaten von Amerika (USA)
Qunnect;Quantonation I FPCI;"";"";"";"";""
Qunnect;"";;Mehdi;Namazi;"";Vereinigte Staaten von Amerika (USA)
Qunnect;"";;Mael;Flament;"";Vereinigte Staaten von Amerika (USA)
Raid Base, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Ratio Technologies Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Ratio Technologies Inc.;"";;Ashish;Srimal;"";Vereinigte Staaten von Amerika (USA)
Ratio Technologies Inc.;"";;Mason;Blake;"";Vereinigte Staaten von Amerika (USA)
Razor Group GmbH;Redalpine Opportunity Fund SCS;"";"";"";"";""
Razor Group GmbH;"";;Tushar;Ahluwalia;"";Deutschland
Razor Group GmbH;"";;Christoph;Gamon;"";Deutschland
ReaQta;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Ready Makers Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Ready Makers Inc.;"";;David;Bennahum;;Vereinigte Staaten von Amerika (USA)
RealFevr;ADvantage Sports Tech Fund LP;"";"";"";"";""
RealFevr;"";;Bruno Filipe;Lourenco Coelho;"";Portugal
RealFevr;"";;Jose;Santos;"";Portugal
RealFevr;"";;Tiago;Bem;"";Portugal
RealFevr;"";;Tiago;Dias;"";Portugal
Redpill VR;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Redpill VR;"";;Rob;Stromberg;;Vereinigte Staaten von Amerika (USA)
Redpill VR;"";;Sébastien;Deguy;;Vereinigte Staaten von Amerika (USA)
Resolution Games AB;BITKRAFT Ventures Opportunity Fund I, L.P;"";"";"";"";""
Resolution Games AB;"";;Tommy;Palm;mänlich;Schweden
Retina AI Inc.;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Retina AI Inc.;"";;Emad;Hasan;"";Vereinigte Staaten von Amerika (USA)
Return Entertainment Oy;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
RheoCube;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
RheoCube;"";;Eric;Lorenz;"";Niederlande
Rigetti;Alpha Intelligence Capital Fund 1;"";"";"";"";""
Rigetti;"";;Chad;Rigetti;;Vereinigte Staaten von Amerika (USA)
Robinhood Financial LLC;Redalpine Opportunity Fund SCS;"";"";"";"";""
Robinhood Financial LLC;"";;Vlad;Tenev;"";Vereinigte Staaten von Amerika (USA)
Robinhood Financial LLC;"";;Baiju;Bhatt;"";Vereinigte Staaten von Amerika (USA)
Room;Nordic Eye II SCSp;"";"";"";"";""
Room;"";;Brian;Chen;"";Vereinigte Staaten von Amerika (USA)
Room;"";;Henrik;Zillmer;"";Vereinigte Staaten von Amerika (USA)
Room;"";;Morten;Meisner-Jensen;"";Vereinigte Staaten von Amerika (USA)
Rooter;ADvantage Sports Tech Fund LP;"";"";"";"";""
Rooter;"";;Piyush;Kumar;"";India
Rooter;"";;Dipesh;Agarwal;"";India
Rosie Reality;Redalpine Capital S.C.S., SICAR III;"";"";"";"";""
Rosie Reality;"";;Peter;Spence;;Schweiz
Rosie Reality;"";;Sélim;Benayat;;Schweiz
Rosie Reality;"";;Mugeeb;Hassan;;Schweiz
Rosie Reality;"";;Florian;Maushart;;Schweiz
Roundhill Financial, Inc.;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Roundhill Financial, Inc.;"";;Tim;Maloney;;Vereinigte Staaten von Amerika (USA)
Roundhill Financial, Inc.;"";;Will;Hershey;;Vereinigte Staaten von Amerika (USA)
Ruckus Games, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Ruckus Games, Inc.;"";;Christofer;Strasz;"";Vereinigte Staaten von Amerika (USA)
Ruckus Games, Inc.;"";;Scott;Kester;"";Vereinigte Staaten von Amerika (USA)
Runtime GmbH;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Runtime GmbH;"";;Raul;Cid;;Deutschland
SENCURE B.V.;Cottonwood Technology Fund III;"";"";"";"";""
SENCURE B.V.;"";;Jurryt;Vellinga;"";Niederlande
SPATIAL;BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
SPATIAL;"";;Calin;Pacurariu;;Vereinigte Staaten von Amerika (USA)
SPATIAL;"";;Michael;Plitkins;;Vereinigte Staaten von Amerika (USA)
SPENDIT;Reimann Investor Management GmbH & Co. 2016 KG;"";"";"";"";""
SPENDIT;"";;Ralph;Meyer;;Deutschland
SPENDIT;"";;Florian;Gottschaller;;Deutschland
SWISSCLEAR GLOBAL INC.(TAPPP);ADvantage Sports Tech Fund LP;"";"";"";"";""
SWISSCLEAR GLOBAL INC.(TAPPP);"";;Sundip;Agarwal;"";Vereinigte Staaten von Amerika (USA)
Samudai Technologies Pte Ltd;Berlin Innovation Ventures 1 GmbH & Co KG;"";"";"";"";""
Sanctuary Ventures, Inc.;BITKRAFT Ventures Fund II, L.P.;"";"";"";"";""
Sanctuary Ventures, Inc.;"";;Ross;Clark;"";Vereinigte Staaten von Amerika (USA)
Sarcophagus;Greenfield One III GmbH & Co. KG;"";"";"";"";""
Sarcophagus;"";;Parker;McCurley;"";""
Sarcophagus;"";;Zach;Hamilton;"";""
"Schumpeter Enterprises Inc. ""CABANA""";Nordic Eye II SCSp;"";"";"";"";""
"Schumpeter Enterprises Inc. ""CABANA""";"";;Scott;Kubly;"";Vereinigte Staaten von Amerika (USA)
Second SAS;42Cap III GmbH & Co KG;"";"";"";"";""
Sennder GmbH;Redalpine Opportunity Fund SCS;"";"";"";"";""
Sennder GmbH;"";;Julius;Koehler;"";""
Sennder GmbH;"";;David;Nothacker;"";""
Sennder GmbH;"";;Nicolaus;Schefenacker;"";""
SenseTime;Alpha Intelligence Capital Fund 1;"";"";"";"";""
SenseTime;"";;Tang;Xiao’ou;;Hong Kong
Sensorium Technology Labs;Quantonation I FPCI;"";"";"";"";""
Sensorium Technology Labs;"";;Simone;de Liberato;"";""
ShareIQ;JOIN Capital Fund I GmbH & Co. KG;"";"";"";"";""
ShareIQ;"";;Bernhard;Weißhuhn;;Deutschland
ShareIQ;"";;Brian;Killen;;Deutschland
Shimmer Inc.;Honeystone Ventures Fund LP;"";"";"";"";""
Shimmer Inc.;"";;Chris;Wang;"";Vereinigte Staaten von Amerika (USA)
Shimmer Inc.;"";;Jon;Wang;"";Vereinigte Staaten von Amerika (USA)
Shimmer Inc.;"";;Vikram;Sreedhar;"";Vereinigte Staaten von Amerika (USA)
ShowHeros;Redalpine Opportunity Fund SCS;"";"";"";"";""
ShowHeros;"";;Ilhan;Zengin;"";Deutschland
ShowHeros;"";;Mario;Tiedemann;"";Deutschland
ShowHeros;"";;Dennis;Kirschner;"";Deutschland
Sidledes AB (Strafe);BITKRAFT ESPORTS VENTURES I, L.P. (KY);"";"";"";"";""
Sidledes AB (Strafe);"";;Einar;Ahlström;;Schweden
Sidledes AB (Strafe);"";;Jonathan;Liberman;;Schweden
Sidledes AB (Strafe);"";;Robert;Samuelsson;;Schweden
Silico Ltd.;Join Capital Fund II GmbH & Co KG;"";"";"";"";""
Silico Ltd.;"";;John;Hill;"";Groß-Britanien (UK)
Silico Ltd.;"";;Chris;Spencer;"";Groß-Britanien (UK)
SimplicityDX;42Cap III GmbH & Co KG;"";"";"";"";""
Skyresponse AB;Nordic Eye II SCSp;"";"";"";"";""
Skyresponse AB;"";;Martin;Reidevall;"";Schweden
SmartNanotubes Technologies GmbH;Cottonwood Technology Fund III;"";"";"";"";""
SmartNanotubes Technologies GmbH;"";;Birte;Sönnichsen;"";Deutschland
SmartNanotubes Technologies GmbH;"";;Viktor;Bezugly;"";Deutschland
